id,region-de,region-en,region-es,region-fr,region-ja,region-ko,region-pt,region-ru,region-th,region-tr,region-vi,region-zh,region-aa
1021,Perfect World Dota2,Perfect World Dota2,Dota2 Perfect World,Perfect World Dota2,パーフェクトワールド Dota2,퍼펙트 월드 도타2,Perfect World Dota2,Perfect World Dota2,เปอร์เฟค เวิร์ล โดต้า2,Perfect World Dota2,Perfect World Dota2,完美世界 刀塔2,
104,Bosnien und Herzegowina,Bosnia & Herzegovina,Bosnia y Herzegovina,Bosnie-Herzégovine,ボスニア・ヘルツェゴビナ,보스니아 헤르체코비나,Bósnia & Herzegovina,Босния и Герцеговина,บอสเนียและเฮอร์เซโกวีนา,Bosna Hersek,Bosnia & Herzegovina,波斯尼亚和黑塞哥维那,
105,Nordmazedonien,North Macedonia,Macedonia del Norte,Macédoine du Nord,北マケドニア,북마케도니아,Macedónia do Norte,Северная Македония,นอร์ธ มาซิโดเนีย,Kuzey Makedonya,Bắc Macedonia,北马其顿,
108,Ecuador,Ecuador,Ecuador,Equateur,エクアドル,에콰도르,Equador,Эквадор,เอกวาดอร์,Ekvador,Ecuador,厄瓜多尔,
109,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis
110,,,,,,,,,,,,,
111,,,,,,,,,,,,,
114,Luxemburg,Luxembourg,Luxemburgo,Luxembourg,ルクセンブルク,룩셈부르크,Luxemburgo,Люксембург,ลักเซมเบิร์ก,Lüksemburg,Luxembourg,卢森堡,
118,Peru,Peru,Perú,Pérou,ペルー,페루,Perú,Перу,เปรู,Peru,Peru,秘鲁,
120,,,,,,,,,,,,,
1023,Liga Pro,Liga Pro,Liga Pro,Liga Pro,Liga Pro,Liga Pro,Liga Profissional,Liga Pro,Liga Pro,Liga Pro,Liga Pro,Liga Pro,
130,Kolumbien,Colombia,Colombia,Colombie,コロンビア,콜롬비아,Colômbia,Колумбия,โคลอมเบีย,Kolombiya,Colombia,哥伦比亚,
133,Paraguay,Paraguay,Paraguay,Paraguay,パラグアイ,파라과이,Paraguai,Парагвай,ปารากวัย,Paraguay,Paraguay,巴拉圭,
134,Venezuela,Venezuela,Venezuela,Venezuela,ベネズエラ,베네수엘라,Venezuela,Венесуэла,เวเนซุเอลา,Venezuela,Venezuela,委内瑞拉,
139,Vereinigte Arabische Emirate,United Arab Emirates,Emiratos Árabes Unidos,Emirats Arabes Unis,アラブ首長国連邦,아랍에미레이츠,Emiratos Árabes Unidos,Объединенные Арабские Эмираты,สหรัฐอาหรับเอมิเรตส์,BAE,Các tiểu vương quốc Ả Rập Thống Nhất,阿联酋,
141,Marokko,Morocco,Marruecos,Maroc,モロッコ,모로코,Marrocos,Марокко,โมร็อกโก,Fas,Ma Rốc,摩洛哥,
142,Algerien,Algeria,Argelia,Algérie,アルジェリア,알제리,Argélia,Алжир,แอลจีเลีย,Cezayir,Algeria,阿尔及利亚,
143,Ägypten,Egypt,Egipto,Egypte,エジプト,이집트,Egito,Египет,อียิปต์,Mısır,Ai Cập,埃及,
144,Saudi Arabien,Saudi Arabia,Arabia Saudita,Arabie Saoudite,サウジアラビア,사우디아라비아,Arábia Saudita,Саудовская аравия,ซาอุดีอาระเบีย,Suudi Arabistan,Ả Rập Saudi,沙特阿拉伯,
146,Südafrika,South Africa,Sudáfrica,Afrique du Sud,南アフリカ,남아프리카 공화국,África do Sul,Южная Африка,แอฟริกาใต้,Güney Afrika,Nam Phi,南非,
149,Kuwait,Kuwait,Kuwait,Koweït,クウェート,쿠웨이트,Kuwait,Кувейт,คูเวต,Kuveyt,Kuwait,科威特,
150,"Hong Kong, China","Hong Kong, China","Hong Kong, China","Hong Kong, Chine",香港、中国,"홍콩, 중국","Hong Kong, China","Гонконг, Китай","ฮ่องกง, จีน","Hong Kong, Çin","Hồng Kông, Trung Quốc",香港，中国,
153,Bahrain,Bahrain,Baréin,Bahreïn,バーレーン,바레인,Bahrain,Бахрейн,บาห์เรน,Bahreyn,Bahrain,巴林,
154,Indien,India,India,Inde,インド,인도,India,Индия,อินเดีย,Hindistan,Ấn Độ,印度,كرة الماء
155,Katar,Qatar,Catar,Qatar,カタール,카타르,Catar,Катар,กาตาร์,Katar,Qatar,卡塔尔,
156,Niederlande,Netherlands,Países Bajos,Pays-Bas,オランダ,네덜란드,Holanda,Голландия (Нидерланды),เนเธอร์แลนด์,Hollanda,Hà Lan,荷兰,
157,Guatemala,Guatemala,Guatemala,Guatemala,グアテマラ,과테말라,Guatemala,Гватемала,กัวเตมาลา,Guatemala,Guatemala,危地马拉,
159,El Salvador,El Salvador,El Salvador,Le Salvador,エルサルバドル,엘살바도르,El Salvador,Сальвадор,เอลซัลวาดอร์,El Salvador,El Salvador,萨尔瓦多,
160,Indonesien,Indonesia,Indonesia,Indonésie,インドネシア,인도네시아,Indonésia,Индонезия,อินโดนีเซีย,Endonezya,Indonesia,印尼,
163,Bolivien,Bolivia,Bolivia,Bolivie,ボリビア,볼리비아,Bolívia,Боливия,โบลิเวีย,Bolivya,Bolivia,玻利维亚,
167,San Marino,San Marino,San Marino,San Marin,サンマリノ,산마리노,São Marino,Сан-Марино,ซาน มารีโน,San Marino,San Marino,圣马力诺,
170,,,,,,,,,,,,,
171,Kamerun,Cameroon,Camerún,Cameroun,カメルーン,카메룬,Camarões,Камерун,แคเมอรูน,Kamerun,Cameroon,喀麦隆,
172,Jugend International,International Youth,Internacional Juvenil,International Jeunes,インターナショナルユース,인터네이셔널 유스,Seleções Jovens,Международный молодежная лига,เยาวชนนานาชาติ,Uluslararası Gençler,International Youth,国际青少年,International Youth
174,Oman,Oman,Omán,Oman,オマーン,오만,Omã,Оман,โอมาน,Oman Sultanlığı,Oman,阿曼,
175,,,,,,,,,,,,,
176,Libanon,Lebanon,Líbano,,レバノン,,Líbano,Ливан,เลบานอน,Lübnan,Liban,黎巴嫩,
177,Honduras,Honduras,Honduras,Honduras,ホンジュラス,온두라스,Honduras,Гондурас,ฮอนดูรัส,Honduras,Honduras,洪都拉斯,
178,,,,,,,,,,,,,
181,Bangladesch,Bangladesh,Bangladés,Bangladesh,バングラデシュ,방글라데시,Bangladesh,Бангладеш,บังกลาเทศ,Bangladeş,Bangladesh,孟加拉国,
182,,Sudan,,,,,,,,,,,
184,Thailand,Thailand,Tailandia,Thaïlande,タイ,태국,Tailândia,Таиланд,ไทย,Tayland,Thái Lan,泰国,
185,Argentinien,Argentina,Argentina,Argentine,アルゼンチン,아르헨티나,Argentina,Аргентина,อาร์เจนตินา,Arjantin,Argentina,阿根廷,
186,Irak,Iraq,Irak,Irak,イラク,이라크,Iraque,Ирак,อิรัก,Irak,Iraq,伊拉克,
187,Chile,Chile,Chile,Chili,チリ,칠레,Chile,Чили,ชิลี,Şili,Chi lê,智利,
189,Angola,Angola,Angola,Angola,アンゴラ,앙골라,Angola,Ангола,แองโกลา,Angola,Angola,安哥拉,
190,,Jamaica,,,,,,,,,,,
191,,Liechtenstein,,,,,,,,,,,
193,,Belize,,,,,,,,,,,
194,Panama,Panama,Panamá,Panama,パナマ,파나마,Panamá,Панама,ปานามา,Panama,Panama,巴拿马,
195,,Trinidad and Tobago,,,,,,,,,,,
197,Nigeria,Nigeria,Nigeria,Nigéria,ナイジェリア,나이지리아,Nigéria,Нигерия,ไนจีเรีย,Nijerya,Nigeria,尼日利亚,
199,Ghana,Ghana,Ghana,Ghana,ガーナ,가나,Gana,Гана,กานา,Gana,Ghana,加纳,
200,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia
202,,Mauritania,,,,,,,,,,,
203,Puerto Rico,Puerto Rico,Puerto Rico,Porto Rico,プエルトリコ,푸에르토리코,Porto Rico,Пуэрто-Рико,เปอร์โตริโก,Porto Riko,Puerto Rico,波多黎各,
204,Uruguay,Uruguay,Uruguay,Uruguay,ウルグアイ,우루과이,Uruguai,Уругвай,อุรุกวัย,Uruguay,Uruguay,乌拉圭,
205,,DR Congo,,,,,,,,,,,
207,,Maldives,,,,,,,,,,,
208,,Aruba,,,,,,,,,,,
211,,,,,,,,,,,,,
212,,,,,,,,,,,,,
213,Pakistan,Pakistan,Pakistán,Pakistan,パキスタン,파키스탄,Paquistão,Пакистан,ปากีสถาน,Pakistan,Pakistan,巴基斯坦,
214,,Macao,,,,,,,,,,,
216,,Kyrgyzstan,,,,,,,,,,,
218,Myanmar,Myanmar,Myanmar,,ミャンマー,,Myanmar,Мьянма,พม่า,Myanmar,Myamar,缅甸,
219,,Burkina Faso,,,,,,,,,,,
220,,,,,,,,,,,,,
222,,,,,,,,,,,,,
223,,Haiti,,,,,,,,,,,
225,,,,,,,,,,,,,
227,,Botswana,,,,,,,,,,,
228,Kenia,Kenya,Kenia,Kenya,ケニア,케냐,Quénia,Кения,เคนยา,Kenya,Kenya,肯尼亚,
229,,Mozambique,,,,,,,,,,,
230,,Fiji,,,,,,,,,,,
231,Sambia,Zambia,Zambia,Zambie,ザンビア,잠비아,Zâmbia,Замбия,แซมเบีย,Zambiya,Zambia,赞比亚,
232,,,,,,,,,,,,,
233,Uganda,Uganda,Uganda,Ouganda,ウガンダ,우간다,Uganda,Уганда,ยูกันดา,Uganda,Uganda,乌干达,
235,,Curacao,,,,,,,,,,,
236,Malawi,Malawi,Malaui,Malawi,マラウイ,말라위,Malaui,Малави,มาลาวี,Malavi,Malawi,马拉维,
237,,Mali,,,,,,,,,,,
238,,,,,,,,,,,,,
239,Philippinen,Philippines,Filipinas,Philippines,フィリピン,필리핀,Ilhas Filipinas,Филиппины,ฟิลิปปินส์,Filipinler,Philippin,菲律宾,
242,Malaysia,Malaysia,Malasia,Malaisie,マレーシア,말레이시아,Malásia,Малайзия,มาเลเซีย,Malezya,Malaysia,马来西亚,
243,Togo,Togo,Togo,,,,Togo,,,,,,
245,,Afghanistan,,,,,,,,,,,
247,,New Caledonia,,,,,,,,,,,
248,,,,,,,,,,,,,
249,,Solomon Islands,,,,,,,,,,,
250,Senegal,Senegal,Senegal,Sénégal,セネガル,세네갈,Senegal,Сенегал,เซเนกัล,Senegal,Senegal,塞内加尔,
251,Republik Kongo,Congo,República del Congo,Congo,コンゴ民主共和国,콩고,Republica do Congo,Конго,สาธารณรัฐคองโก,Kongo,Cộng Hòa Công Gô,刚果,
253,,,,,,,,,,,,,
254,,Nepal,,,,,,,,,,,
255,,Djibouti,,,,,,,,,,,
256,,,,,,,,,,,,,
257,,,,,,,,,,,,,
258,,,,,,,,,,,,,
259,,Cayman Islands,,,,,,,,,,,
260,,,,,,,,,,,,,
261,,Mauritius,,,,,,,,,,,
262,Äthiopien,Ethiopia,Etiopía,Ethiopie,エチオピア,에티오피아,Etiópia,Эфиопия,เอธิโอเปีย,Etiyopya,Ethiopia,埃塞俄比亚,
263,,,,,,,,,,,,,
266,,,,,,,,,,,,,
267,,,,,,,,,,,,,
268,,,,,,,,,,,,,
269,Ruanda,Rwanda,Ruanda,Rwanda,ルワンダ,르완다,Ruanda,Руанда,รวันดา,Ruanda,Ruwanda,卢旺达,
270,,,,,,,,,,,,,
271,,Liberia,,,,,,,,,,,
272,,,,,,,,,,,,,
273,,,,,,,,,,,,,
275,,Gambia,,,,,,,,,,,
276,Guinea,Guinea,Guinea,Guinée,ギニア,기니,Guiné,Гвинея,สาธารณรัฐกินี,Gine,Guinea,几内亚,
277,,,,,,,,,,,,,
278,,,,,,,,,,,,,
279,,Madagascar,,,,,,,,,,,
280,,,,,,,,,,,,,
281,,,,,,,,,,,,,
282,,,,,,,,,,,,,
283,,,,,,,,,,,,,
284,,,,,,,,,,,,,
285,,Niger,,,,,,,,,,,
286,,,,,,,,,,,,,
921,Simulated Reality Women,Simulated Reality Women,Simulated Reality Women,Simulated Reality Women,Simulated Reality Women,Simulated Reality Women,Realidade Simulada Feminino,Simulated Reality Women,Simulated Reality Women,Simulated Reality Women,Simulated Reality Women,Simulated Reality Women,
923,ATP,ATP,ATP,ATP,ATP,ATP,ATP,АТП,ATP,ATP,ATP,ATP,
924,ITF Frauen,ITF Women,ITF Femenino,ITF Femmes,ITF女子,국제 테니스 연맹,ITF Feminino,ITF Женщины,ITF ผู้หญิง,ITF Kadınlar,ITF Women,ITF女子,
927,Formel 1,Formula 1,Fórmula 1,Formule 1,F1,포물러 1,Fórmula 1,Формула -1,ฟอร์มูล่า วัน,Formula 1,Dua xe Công thức 1,世界一级方程式锦标赛,فورمولا 1
928,Challenger,Challenger,Challenger,Challenger,チャレンジ,첼린지,Challenger,Челленджер,แชลแลนจ์,Challenger,Challenger,挑战赛,
1029,,,,,,,,,,,,,
931,WTA 125K,WTA 125K,Challenge Femenino,,WTA 125K,,WTA 125K,WTA 125K,ชาเลนจ์ หญิง,WTA 125K,Giải nữ,女子挑战赛,
934,ITF Männer,ITF Men,ITF Masculino,ITF Hommes,ITF男子,ITF 남자,ITF Masculino,ITF Мужчины,ITF ผู้ชาย,ITF Erkekler,Giải Nam ITF,ITF男子,
936,WTA,WTA,WTA,WTA,WTA,여자 테니스 협회,WTA,ВТА,ดับเบิ้ลยูทีเอ,WTA,WTA,WTA,
939,Männer,Men,Masculino,Hommes,男子,남자,Masculinos,Мужчины,ชาย,Erkekler,Nam,男子,
940,UFC,UFC,UFC,UFC,UFC,UFC,UFC,UFC,ยูเอฟซี,UFC,UFC,终极格斗,يو اف سي
943,Exhibition,Exhibition,Exhibición,Exhibition,エキシビジョン,행사,Exibição,Товарищеский матч,การแสดง,Gösteri,Giải giao hữu,表演赛,
944,Nascar,Nascar,Nascar,Nascar,Nascar,나스카,Nascar,НАСКАР,นาสคา,Nascar,Nascar,纳斯卡赛车锦标赛,
949,Sports,Sports,Deportes,Sports,スポーツ,스포츠,Esportes,Спорт,กีฬา,Spor,Các Môn Thể Thao,运动,
951,Politik,Politics,Política,Politique,政治,정치,Política,Политика,การเมือง,Politika,Chính Trị,政治,
953,Rally,Rally,Rally,,ラリー,,Rally,Ралли,แรลลี่,Ralli,Rally,拉力赛,
